EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARDH753GUF,0,11.09765,53.36,Yes,No
NDARUG126FUY,0,9.394706,93.38,Yes,No
NDARGN640XT9,0,11.481177,-40.02,Yes,No
NDARYD259PK3,0,8.949007,68.9,Yes,No
NDARLE676JZN,0,5.819644,86.71,Yes,No
NDARGP733LVB,0,10.936002,60.03,Yes,No
NDARJL819HZL,1,7.040041,-93.38,Yes,No
NDARJL819HZL,1,7.040041,0,Yes,No
NDARNN493WMD,0,9.548026,60.03,Yes,No
NDARHD248WMZ,0,7.445813,80.04,Yes,No
NDARKG408BVL,0,10.942048,-61.16,Yes,No
NDARYJ920PR4,1,8.59514,66.7,Yes,No
NDARDL389KT5,1,9.498631,100.05,Yes,No
NDARJY757LJU,1,10.254506,-100.05,Yes,No
NDARLK307PN3,0,7.053844,26.68,Yes,No
NDAREK731AXL,0,5.643851,-40.02,Yes,No
NDARNJ623KAF,0,14.823979,96.72,Yes,No
NDAREY359ANG,0,9.484941,48.89,Yes,No
NDARJK482MZB,1,13.293862,91.18,Yes,No
NDARWK605KC3,1,9.95859,-60.03,Yes,No
NDARRT854TMV,0,7.256331,53.36,Yes,No
NDARNP962TJK,1,7.617841,26.68,Yes,No
NDARTG706ZV8,1,7.966005,46.69,Yes,No
NDARWC905XUG,0,12.211841,92.31,Yes,No
NDARAY021PPD,0,9.428017,46.67,Yes,No
NDARPY792XRK,1,8.491101,10.01,Yes,No
NDARJC294YNX,0,15.801277,30.02,Yes,No
NDARXJ138BW6,0,8.086014,100.05,Yes,No
NDARGV455JV1,1,12.360255,100.05,Yes,No
NDARHC817PBU,0,12.11613,17.81,Yes,No
NDARWB149BL1,1,9.425279,48.96,Yes,No
NDARFB146TG0,1,10.569358,93.38,Yes,No
NDARMW127WL5,0,7.773785,91.18,Yes,No
NDARVC745RL3,1,14.810061,97.85,Yes,No
NDARVN914ZMX,1,14.421286,93.38,Yes,No
NDARUH340WL5,1,11.056468,100.05,Yes,No
NDARRA321UKA,1,9.572667,44.49,Yes,No
NDARCL586HXH,0,7.056582,-3.33,Yes,No
NDARVA284CL4,0,8.444558,47.82,Yes,No
NDARUB690GWK,1,12.031485,93.38,Yes,No
NDARFJ423LW9,0,9.477298,73.37,Yes,No
NDARPC352WZJ,0,7.935318,100.05,Yes,No
NDARNZ015EK8,1,10.109285,80.04,Yes,No
NDARZH326WDT,1,14.25154,93.38,Yes,No
NDARVU390GVK,1,8.959388,96.72,Yes,No
NDARLZ479CGC,0,14.774583,62.3,Yes,No
NDARKT721PNV,0,5.750513,-66.7,Yes,No
NDARBT980MW2,0,6.051791,-33.35,Yes,No
NDARJW326UED,0,8.318845,93.38,Yes,No
NDARAP120HTA,1,6.476614,60.03,Yes,No
NDARAP120HTA,1,6.476614,60.03,Yes,No
NDARLD071YA7,0,10.717088,100.05,Yes,No
NDARUM756CXD,0,11.820784,86.71,Yes,No
NDARLP160GHJ,0,10.895163,100.05,Yes,No
NDARHV388ZZ4,1,16.422655,100.05,Yes,No
NDARNK139XNA,0,11.245379,13.34,Yes,No
NDARYC953CE2,1,13.123431,100.05,Yes,No
NDARVU647ED2,0,10.629477,86.71,Yes,No
NDAREN352YZQ,1,9.748345,30.02,Yes,No
NDARWM560DXH,0,10.621606,96.72,Yes,No
NDARWE059CKP,0,8.157084,86.71,Yes,No
NDARKE254HKM,0,12.633812,100.05,Yes,No
NDARPK095XX5,1,15.417864,97.85,Yes,No
NDARBX443ZLU,0,9.942733,93.38,Yes,No
NDARGL014PN6,0,10.675906,100.05,Yes,No
NDARZB660XDB,0,7.7026,68.9,Yes,No
NDARUF588WT6,0,7.053844,-6.67,Yes,No
NDARNH743HW0,0,8.318617,36.69,Yes,No
NDARFN031NAN,0,13.403148,82.24,Yes,No
NDARRF011FG0,0,15.119895,80.04,Yes,No
NDARDM027XFE,0,7.100273,-70.03,Yes,No
NDARUC804LKP,0,11.965548,100.05,Yes,No
NDARZY134GCV,0,7.52464,73.37,Yes,No
NDARVC882UMT,1,17.230321,86.71,Yes,No
NDARDN090KP6,0,9.989276,47.82,Yes,No
NDARRZ120VU2,1,13.011407,-53.36,Yes,No
NDARAT000LDV,0,7.864134,100.05,Yes,No
NDARTK897DPP,1,9.791923,80.04,Yes,No
NDARZU751VBU,0,6.221423,20.01,Yes,No
NDARYG596PYF,1,8.74903,60.03,Yes,No
NDARWM620AX5,0,10.172142,-60.03,Yes,No
NDARZW637PCF,1,6.892197,100.05,Yes,No
NDARXM177NVQ,0,13.748345,73.37,Yes,No
NDARKD296VKD,0,14.037987,86.71,Yes,No
NDAREZ060XH6,1,6.424024,100.05,Yes,No
NDARPL898TYW,0,14.32877,26.68,Yes,No
NDARBB001JZ7,1,17.499087,100.05,Yes,No
NDARGM426CJT,1,8.176819,86.71,Yes,No
NDARHY950URX,0,6.126169,40.02,Yes,No
NDARUM721FCJ,1,9.717659,97.85,Yes,No
NDARCM080BVQ,1,14.23785,93.38,Yes,No
NDARNA455LV4,1,8.633926,44.49,Yes,No
NDARXG697BTX,0,11.6402,66.7,Yes,No
NDARUD172WGG,0,13.099475,-46.69,Yes,No
NDARCF658ZMQ,1,12.179557,100.05,Yes,No
NDARCF658ZMQ,1,12.179557,100.05,Yes,No
NDARWB591KLW,0,10.085101,86.71,Yes,No
NDARMM421CEC,0,12.124229,-56.76,Yes,No
NDARHW973PXT,0,8.417522,86.71,Yes,No
NDARAV925BP3,0,6.881245,86.71,Yes,No
NDARFC405UUZ,0,9.205681,93.38,Yes,No
NDARBK874PDY,1,6.125827,53.36,Yes,No
NDARJK734VNF,0,15.840063,100.05,Yes,No
NDARXB443TWA,0,11.272758,83.38,Yes,No
NDARTL525VL2,0,12.825119,96.72,Yes,No
NDARJG359XAQ,0,9.712183,86.71,Yes,No
NDARJM880XGY,0,10.448779,90.05,Yes,No
NDAREA860NEX,1,9.225074,100.05,Yes,No
NDAREK862TN1,0,15.054985,84.51,Yes,No
NDARGC822DBX,0,18.358658,86.71,Yes,No
NDARDR898FMV,0,7.108715,53.36,Yes,No
NDARXT060JF6,1,13.025211,80.04,Yes,No
NDAREL027FPB,1,11.256331,100.05,Yes,No
NDARWH029PET,1,7.54449,100.05,Yes,No
NDARZP542LJK,0,15.420602,93.38,Yes,No
NDARPT644BF7,0,9.564453,80.04,Yes,No
NDARPJ763DV1,0,9.432922,80.04,Yes,No
NDARXF485XU5,1,11.198836,-80.04,Yes,No
NDARGD751MMW,1,8.483458,66.7,Yes,No
NDARRN996JZK,1,16.261578,100.05,Yes,No
NDARGY200NTW,0,6.180355,80.04,Yes,No
NDARYP155LJA,0,10.818845,86.71,Yes,No
NDARHW873BP4,0,8.909993,100.05,Yes,No
NDARVC871YDD,0,10.618982,6.67,Yes,No
NDARUH016MWG,1,6.337668,70.03,Yes,No
NDARLG424ZL1,1,8.44798,56.7,Yes,No
NDARRA804NPT,0,11.037873,86.71,Yes,No
NDARGR617JAM,1,18.402121,93.38,Yes,No
NDARNL887YUJ,0,7.371321,-80.04,Yes,No
NDARAG644KE3,0,6.068218,70.03,Yes,No
NDARUP735CM8,0,6.703855,94.51,Yes,No
NDARRT579TEL,1,11.303216,-100.05,Yes,No
NDARHE190JRL,1,12.521788,93.38,Yes,No
NDARNB579TCQ,0,11.798767,76.7,Yes,No
NDARRJ938NT7,1,9.411476,80.04,Yes,No
NDARUX368CL6,0,7.697467,20.01,Yes,No
NDARHR751MTT,1,10.859685,66.7,Yes,No
NDARFK947HD9,0,9.046885,44.49,Yes,No
NDARBG073ZY4,0,17.945128,73.37,Yes,No
NDARBN264UNZ,1,6.122861,-66.7,Yes,No
NDARHU954TM0,0,10.330937,0,Yes,No
NDARZW651DEN,0,7.330253,-80.04,Yes,No
NDARGW888PAL,0,10.481975,73.37,Yes,No
NDARDK635CD2,1,6.982546,53.36,Yes,No
NDARBC865CXQ,0,12.493839,100.05,Yes,No
NDARMP468WRG,1,8.921514,53.36,Yes,No
NDARNN321YCR,0,7.491672,-66.7,Yes,No
NDARWY762UNN,0,5.912616,-53.36,Yes,No
NDARPA629LAL,0,9.016997,100.05,Yes,No
NDARNR347UB9,0,15.525211,100.05,Yes,No
NDARVU223DDB,0,12.412388,100.05,Yes,No
NDARYG037KC4,0,6.659707,-83.38,Yes,No
NDARVC558CAA,1,5.718001,40.02,Yes,No
NDARFB827ETL,1,14.916837,84.51,Yes,No
NDARFE453LFL,0,7.037873,52.29,Yes,No
NDARUB828HR8,1,7.544033,60.03,Yes,No
NDARTN709KEY,0,11.138603,60.03,Yes,No
NDARUN908KRJ,0,17.682409,46.69,Yes,No
NDARFC339HXZ,0,20.575975,86.71,Yes,No
NDARKV041AKE,0,8.74903,93.38,Yes,No
NDARDL033XRG,1,10.172142,100.05,Yes,No
NDARBA404HR9,0,18.16986,100.05,Yes,No
NDARZM949ANW,0,8.225758,60.03,Yes,No
NDARGR199PM2,1,9.706707,26.68,Yes,No
NDARXW410HP6,1,12.803901,53.36,Yes,No
NDARZX849GL3,1,18.205566,100.05,Yes,No
NDARMX767BZR,0,7.289299,-60.03,Yes,No
NDARWF545PCM,0,7.451289,-53.43,Yes,No
NDARJW691ZFR,1,16.773671,93.38,Yes,No
NDARUC629ZHX,1,11.401665,24.48,Yes,No
NDARGZ387TP5,0,6.82934,10.01,Yes,No
NDARRY214YDW,0,12.045402,0,Yes,No
NDARDZ185YDV,1,10.821013,100.05,Yes,No
NDARHT939VL5,0,11.020876,-100.05,Yes,No
NDARTH616MKF,1,14.298653,-46.69,Yes,No
NDARVN772GLC,0,10.796372,81.17,Yes,No
NDARVB588TM7,1,8.959388,76.7,Yes,No
NDARCK944VXB,0,8.828085,86.71,Yes,No
NDARAN229MTX,0,6.68971,46.69,Yes,No
NDARAR358RHK,1,18.859913,100.05,Yes,No
NDARVX769HEQ,1,7.226328,80.11,Yes,No
NDARNX843CD9,0,5.562172,100.05,Yes,No
NDARNK679NNV,0,6.731234,97.85,Yes,No
NDARYG009CUE,0,10.638261,60.03,Yes,No
NDARTF081PRL,0,13.060689,100.05,Yes,No
NDARCP952HZA ,0,11.612822,100.05,Yes,No
NDAREM687HPE,1,13.088523,53.36,Yes,No
NDARCY049DAF,0,7.74093,-100.05,Yes,No
NDARJT819VAX,1,5.748231,93.38,Yes,No
NDARCE788KXW,1,13.430298,100.05,Yes,No
NDARPP806NL2,0,13.088295,90.05,Yes,No
NDARKJ238NTJ,0,6.996805,6.67,Yes,No
NDARCJ348YVB,1,11.051676,73.37,Yes,No
NDARTE752PYH,1,13.584074,70.03,Yes,No
NDARPT665ADN,0,13.192562,86.78,Yes,No
NDARKL053DWW,0,13.895961,100.05,Yes,No
NDARKG990TNT,0,10.654004,13.34,Yes,No
NDARCD075CMG,0,6.560917,-100.05,Yes,No
NDARRK694GD5,1,8.729865,4.4,Yes,No
NDARCW855EMQ,0,11.754848,53.36,Yes,No
NDARXY567ZML,0,10.177618,81.17,Yes,No
NDARKV309YFH,1,16.499315,62.3,Yes,No
NDARUH459KY3,0,16.614419,93.38,Yes,No
NDARFJ546HXE,0,9.531485,60.03,Yes,No
NDARUX422KT3,0,6.471138,73.37,Yes,No
NDARUW210XVA,0,9.170887,20.01,Yes,No
NDARCM214WFE,0,7.127652,13.34,Yes,No
NDARVJ394TEC,1,7.543919,-37.82,Yes,No
NDARDC553RE2,0,16.809263,60.03,Yes,No
NDAREW326RXX,0,8.540383,86.71,Yes,No
NDARLW708LJR,0,14.068104,86.71,Yes,No
NDARXX899HTP,0,8.647273,26.68,Yes,No
NDARBR039KM0,1,16.138489,73.37,Yes,No
NDARBT749WCN,0,5.682637,53.36,Yes,No
NDARZT876LP6,1,11.804357,93.38,Yes,No
NDARUW215TG0,0,7.694729,100.05,Yes,No
NDARFB718YEJ,1,7.976728,46.69,Yes,No
NDARPU118RAN,1,9.077686,32.28,Yes,No
NDARWR007EUF,0,11.163244,20.01,Yes,No
NDARPC937PX8,1,10.306297,91.18,Yes,No
NDARZM839GHH,0,16.641683,100.05,Yes,No
NDARVD219XN1,1,7.749714,100.05,Yes,No
NDARNF525CRN,0,5.444444,82.31,Yes,No
NDARUU245TF1,1,14.123089,48.96,Yes,No
NDARYR809TBN,1,8.565023,26.68,Yes,No
NDARJD111BGM,1,10.278918,100.05,Yes,No
NDARZX827NWT,0,6.315195,-16.68,Yes,No
NDARUZ062BWR,1,8.154916,-80.04,Yes,No
NDARRA908XA2,0,9.364932,93.38,Yes,No
NDARPC240HFH,1,6.898243,68.97,Yes,No
NDARJL422NDV,0,14.487109,53.36,Yes,No
NDARNX672HNV,0,7.853182,97.85,Yes,No
NDARBX479JVN,0,9.342687,96.72,Yes,No
NDARZH432ZTC,0,6.859913,53.36,Yes,No
NDARCK816LRX,0,14.117955,100.05,Yes,No
NDARWM682YJ0,0,9.501939,100.05,Yes,No
NDARGJ596GTA,1,15.549623,55.69,Yes,No
NDARMK299CN4,0,8.274811,96.72,Yes,No
NDARUK931MGT,0,11.218571,73.37,Yes,No
NDARYC574EA3,1,16.138375,80.04,Yes,No
NDARDB355VG8,0,7.960073,-73.37,Yes,No
NDARVH565FX9,1,9.753365,86.71,Yes,No
NDARLK306VR9,0,16.997604,70.03,Yes,No
NDARZB904CDB,0,7.634725,-86.71,Yes,No
NDARZF874HJX,0,11.766255,85.64,Yes,No
NDARBC773HN6,0,6.711498,73.37,Yes,No
NDARJY512JMG,1,10.489733,73.37,Yes,No
NDARRT994KAA,0,7.744125,33.35,Yes,No
NDARHM270YKH,1,10.525325,100.05,Yes,No
NDAREE075BGN,1,7.023728,80.04,Yes,No
NDARZW720WG1,1,16.926876,66.7,Yes,No
NDARTP766CPJ,0,6.263061,26.68,Yes,No
NDARFN088BBV,1,7.814966,26.68,Yes,No
NDARCM268ULX,1,14.886721,53.36,Yes,No
NDARFW002KMK,0,8.023499,86.71,Yes,No
NDARFP601KKC,0,8.447866,-80.04,Yes,No
NDARGF056RX6,1,11.464407,64.5,Yes,No
NDAREH498BDV,1,12.606091,100.05,Yes,No
NDARGM159ZL9,1,13.605977,93.38,Yes,No
NDARNW283WJF,1,6.451403,-97.85,Yes,No
NDARYE231CY0,0,8.335614,86.71,Yes,No
NDARTG982UC3,0,11.39117,100.05,Yes,No
NDARTP291KF6,0,13.966803,-70.03,Yes,No
NDARGK981YLX,1,14.065366,100.05,Yes,No
NDARCY682FLJ,0,10.079739,-66.7,Yes,No
NDAREV869CPW,0,12.896874,100.05,Yes,No
NDARRK096TF0,0,7.598562,93.38,Yes,No
NDARWF697JCF,1,11.267282,90.05,Yes,No
NDARUA113RTQ,1,9.578713,23.34,Yes,No
NDARUJ111XEZ,0,16.535135,80.04,Yes,No
NDARXC962XNK,0,5.95859,40.02,Yes,No
NDARMV674TJY,1,12.384439,80.04,Yes,No
NDARPP255LGE,0,9.28542,86.67,Yes,No
NDARYN728TBX,0,16.998288,-6.67,Yes,No
NDARHG311JRH,1,13.277435,100.05,Yes,No
NDARNZ526XKF,0,13.495893,100.05,Yes,No
NDARNH862EMH,1,15.686173,100.05,Yes,No
NDARWK212ZPX,0,8.839379,66.7,Yes,No
NDARYR155PM1,1,15.89425,57.83,Yes,No
NDARDN446FJG,1,13.148528,100.05,Yes,No
NDARHR386KRJ,1,21.509696,96.72,Yes,No
NDARWA542JCG,1,5.627766,53.36,Yes,No
NDARBW660FLT,0,8.504791,100.05,Yes,No
NDARNM721XWT,1,15.599133,73.37,Yes,No
NDARDT308PP4,0,9.611339,13.34,Yes,No
NDAREF517UWZ,0,9.337097,100.05,Yes,No
NDARHR468PPJ,1,7.023613,46.69,Yes,No
NDARUJ391DB3,1,10.328199,60.03,Yes,No
NDARLU922KGW,1,12.611909,83.38,Yes,No
NDARAR998KMM,0,9.323636,80.04,Yes,No
NDARXN641PWT,0,12.67237,86.71,Yes,No
NDARHZ847HME,0,9.718115,86.71,Yes,No
NDARLW237DHM,0,8.99498,100.05,Yes,No
NDARBU777YCU,1,15.228952,76.7,Yes,No
NDARBV663TRE,0,13.684804,-60.03,Yes,No
NDARFK452XCU,0,16.997718,97.85,Yes,No
NDARRN880XA0,1,5.687542,100.05,Yes,No
NDARPV614TV9,1,12.986652,80.04,Yes,No
NDARHD079LCL,0,14.263061,73.37,Yes,No
NDARKX108EG9,0,10.16119,100.05,Yes,No
NDARPB701XDP,0,10.807665,80.04,Yes,No
NDARBV198EKU,1,8.288501,-83.38,Yes,No
NDARHV725JRD,0,12.3436,100.05,Yes,No
NDARMZ096TBD,1,7.900182,-40.02,Yes,No
NDARJB570GBW,0,7.341889,-14.47,Yes,No
NDARCT277WK9,0,7.864134,80.04,Yes,No
NDARXE944JP7,0,11.007186,100.05,Yes,No
NDARBY976XYY,1,9.526009,64.5,Yes,No
NDARZA561GFF,0,5.849646,100.05,Yes,No
NDARLN620ZA7,0,11.75462,86.71,Yes,No
NDARMU228TCQ,1,14.716974,-68.97,Yes,No
NDARNA360JWE,0,7.595824,86.71,Yes,No
NDARKT593WDF,1,10.125598,3.33,Yes,No
NDARTU841ZAE,0,9.400638,100.05,Yes,No
NDARHY693FNZ,1,18.810631,55.63,Yes,No
NDARXX955UYH,0,7.478211,100.05,Yes,No
NDARCW424WBT,0,7.552589,100.05,Yes,No
NDARBR763ACQ,1,11.259525,43.35,Yes,No
NDARBP516PXX,0,10.854095,100.05,Yes,No
NDARGY464EYL,0,6.939425,57.83,Yes,No
NDARRL467BA1,0,10.654004,-20.01,Yes,No
NDARBM037ZM7,1,9.520533,80.04,Yes,No
NDARGC826PWN,1,7.402007,33.35,Yes,No
NDARUR724ZHG,1,5.79717,46.69,Yes,No
NDARHV831DRH,0,9.974903,73.37,Yes,No
NDARYV538EBP,1,16.99247,77.84,Yes,No
NDARAG788YV9,1,15.001711,38.95,Yes,No
NDARTF720AGD,1,9.153661,57.83,Yes,No
NDARVU464RBF,0,6.274013,46.69,Yes,No
NDARTT287KFN,1,17.980492,93.38,Yes,No
NDARVV095BWU,1,8.168149,100.05,Yes,No
NDARPT497YFZ,1,11.453456,86.71,Yes,No
NDARMF450DKQ,0,10.073579,86.71,Yes,No
NDARMD987YR6,1,6.857061,0,Yes,No
NDARFV722FED,0,8.560232,52.29,Yes,No
NDARMX842MTR,0,6.29044,26.68,Yes,No
NDARBK032VNE,0,10.281998,76.7,Yes,No
NDARKP458TM1,1,9.753707,80.04,Yes,No
NDARDG528KWJ,0,14.68412,52.23,Yes,No
NDARAB282FDJ,1,11.50057,38.95,Yes,No
NDARAB282FDJ,1,11.50057,46.69,Yes,No
NDARGD414MUA,0,10.429956,86.71,Yes,No
NDARZB616FHG,0,5.518366,53.36,Yes,No
NDARZL222KVA,0,8.52407,73.37,Yes,No
NDARGZ482DV5,1,7.210472,-100.05,Yes,No
NDARCE803VF5,0,12.729295,73.37,Yes,No
NDARDZ322ZFC,0,17.428017,93.38,Yes,No
NDARML115LD7,1,9.077116,13.34,Yes,No
NDARPU887XGA,0,16.751197,86.71,Yes,No
NDARZW698UE7,0,8.959274,70.03,Yes,No
NDARZZ741VJE,0,6.142596,-66.7,Yes,No
NDARPV423ECQ,0,7.171457,88.98,Yes,No
NDARLY512XUY,1,8.997604,93.38,Yes,No
NDARBH701KA1,0,7.026922,53.36,Yes,No
NDARXR665DU1,1,7.149555,92.31,Yes,No
NDARAB674LNB,0,7.001825,-86.71,Yes,No
NDARTY128YLU,0,15.845539,13.34,Yes,No
NDARGZ357FBX,0,16.606091,57.9,Yes,No
NDARWR624NF4,0,9.414328,20.01,Yes,No
NDARJR480DUT,0,11.002281,-73.37,Yes,No
NDARUP748AXG,0,10.13096,76.77,Yes,No
NDARYE131DBX,1,8.044832,26.68,Yes,No
NDARMG355BP1,1,10.539014,40.02,Yes,No
NDARZC445DDK,1,6.4684,80.04,Yes,No
NDAREK130FBX,0,17.211156,100.05,Yes,No
